pref_id,pref_eng,pref_jpn1,pref_jpn2,pr_block,hc_elec_num,name,party,ttl_votes,votes,magnitude,win,vshare,year,even
1,Hokkaido,北海道,北海道,北海道,7,川村清一,日本社会党,1683764,423325,4,1,0.25141587538396115,1965,0
1,Hokkaido,北海道,北海道,北海道,7,井川伊平,自由民主党,1683764,401863,4,1,0.23866943348355232,1965,0
1,Hokkaido,北海道,北海道,北海道,7,高橋雄之助,自由民主党,1683764,337047,4,1,0.20017472757464824,1965,0
1,Hokkaido,北海道,北海道,北海道,7,竹田現照,日本社会党,1683764,328643,4,1,0.1951835292832012,1965,0
1,Hokkaido,北海道,北海道,北海道,7,村上由,日本共産党,1683764,116519,4,0,0.06920150329856203,1965,0
1,Hokkaido,北海道,北海道,北海道,7,前谷宏,無所属,1683764,47795,4,0,0.028385807037090708,1965,0
1,Hokkaido,北海道,北海道,北海道,7,藤本国夫,世界党,1683764,28572,4,0,0.016969123938984323,1965,0
1,Hokkaido,北海道,北海道,北海道,8,大矢正,日本社会党,1983843,441986,4,1,0.2227928318924431,1968,1
1,Hokkaido,北海道,北海道,北海道,8,河口陽一,自由民主党,1983843,421781,4,1,0.2126080541655766,1968,1
1,Hokkaido,北海道,北海道,北海道,8,西田信一,自由民主党,1983843,418428,4,1,0.210917900257228,1968,1
1,Hokkaido,北海道,北海道,北海道,8,吉田忠三郎,日本社会党,1983843,369077,4,1,0.1860414357386144,1968,1
1,Hokkaido,北海道,北海道,北海道,8,望月武義,民主社会党,1983843,125816,4,0,0.06342034122659908,1968,1
1,Hokkaido,北海道,北海道,北海道,8,五十嵐久弥,日本共産党,1983843,125791,4,0,0.06340773942292813,1968,1
1,Hokkaido,北海道,北海道,北海道,8,藤本国夫,世界党,1983843,41262,4,0,0.020799024922839155,1968,1
1,Hokkaido,北海道,北海道,北海道,8,前谷宏,無所属,1983843,39702,4,0,0.020012672373771512,1968,1
1,Hokkaido,北海道,北海道,北海道,9,高橋雄之助,自由民主党,1959698,394931,4,1,0.201526459689197,1971,0
1,Hokkaido,北海道,北海道,北海道,9,川村清一,日本社会党,1959698,378619,4,1,0.19320272817546377,1971,0
1,Hokkaido,北海道,北海道,北海道,9,竹田現照,日本社会党,1959698,345769,4,1,0.17643994125625478,1971,0
1,Hokkaido,北海道,北海道,北海道,9,岩本政一,自由民主党,1959698,300055,4,1,0.15311287759644598,1971,0
1,Hokkaido,北海道,北海道,北海道,9,井川伊平,自由民主党,1959698,256694,4,0,0.13098650914579696,1971,0
1,Hokkaido,北海道,北海道,北海道,9,五十嵐久弥,日本共産党,1959698,223271,4,0,0.11393133023557711,1971,0
1,Hokkaido,北海道,北海道,北海道,9,藤本国夫,無所属,1959698,60359,4,0,0.03080015390126438,1971,0
1,Hokkaido,北海道,北海道,北海道,10,小笠原貞子,日本共産党,2649857,416950,4,1,0.1573481135019739,1974,1
1,Hokkaido,北海道,北海道,北海道,10,吉田忠三郎,日本社会党,2649857,412746,4,1,0.1557616127964641,1974,1
1,Hokkaido,北海道,北海道,北海道,10,対馬孝且,日本社会党,2649857,404136,4,1,0.15251238085677832,1974,1
1,Hokkaido,北海道,北海道,北海道,10,相沢武彦,公明党,2649857,375278,4,1,0.1416219818654365,1974,1
1,Hokkaido,北海道,北海道,北海道,10,河口陽一,自由民主党,2649857,366788,4,0,0.13841803538832473,1974,1
1,Hokkaido,北海道,北海道,北海道,10,西田信一,自由民主党,2649857,360438,4,0,0.1360216796604496,1974,1
1,Hokkaido,北海道,北海道,北海道,10,高橋辰夫,無所属,2649857,313521,4,0,0.11831619593057285,1974,1
1,Hokkaido,北海道,北海道,北海道,11,北修二,自由民主党,2684839,544725,4,1,0.20288926077131628,1977,0
1,Hokkaido,北海道,北海道,北海道,11,中村啓一,自由民主党,2684839,492365,4,1,0.18338716027292512,1977,0
1,Hokkaido,北海道,北海道,北海道,11,丸谷金保,日本社会党,2684839,424686,4,1,0.1581793172700486,1977,0
1,Hokkaido,北海道,北海道,北海道,11,川村清一,日本社会党,2684839,346111,4,1,0.12891313035902713,1977,0
1,Hokkaido,北海道,北海道,北海道,11,鯉登義夫,公明党,2684839,324520,4,0,0.12087130736703393,1977,0
1,Hokkaido,北海道,北海道,北海道,11,坂東義教,新自由クラブ,2684839,314726,4,0,0.11722341637617749,1977,0
1,Hokkaido,北海道,北海道,北海道,11,児玉健次,日本共産党,2684839,229416,4,0,0.08544869915849702,1977,0
1,Hokkaido,北海道,北海道,北海道,11,浅沼宏充,無所属,2684839,4663,4,0,0.00173678943132158,1977,0
1,Hokkaido,北海道,北海道,北海道,11,東正博,無所属,2684839,3627,4,0,0.0013509189936528783,1977,0
1,Hokkaido,北海道,北海道,北海道,12,高木正明,自由民主党,2834769,588100,4,1,0.2074595848903385,1980,1
1,Hokkaido,北海道,北海道,北海道,12,岩本政光,自由民主党,2834769,550531,4,1,0.1942066531699761,1980,1
1,Hokkaido,北海道,北海道,北海道,12,対馬孝且,日本社会党,2834769,431770,4,1,0.1523122342596522,1980,1
1,Hokkaido,北海道,北海道,北海道,12,小笠原貞子,日本共産党,2834769,431006,4,1,0.1520427237633825,1980,1
1,Hokkaido,北海道,北海道,北海道,12,坂下たかし,日本社会党,2834769,408241,4,0,0.1440120870518903,1980,1
1,Hokkaido,北海道,北海道,北海道,12,相沢武彦,公明党,2834769,405964,4,0,0.14320884699952624,1980,1
1,Hokkaido,北海道,北海道,北海道,12,坂木拓,マルクス主義労働者同盟,2834769,19157,4,0,0.006757869865234169,1980,1
1,Hokkaido,北海道,北海道,北海道,13,北修二,自由民主党,2192515,612390,4,1,0.2793093775869264,1983,0
1,Hokkaido,北海道,北海道,北海道,13,菅野久光,日本社会党,2192515,396159,4,1,0.18068701924502226,1983,0
1,Hokkaido,北海道,北海道,北海道,13,丸谷金保,日本社会党,2192515,383704,4,1,0.17500632834895086,1983,0
1,Hokkaido,北海道,北海道,北海道,13,工藤万砂美,自由民主党,2192515,367392,4,1,0.16756647046884515,1983,0
1,Hokkaido,北海道,北海道,北海道,13,児玉健次,日本共産党,2192515,244370,4,0,0.11145647806286388,1983,0
1,Hokkaido,北海道,北海道,北海道,13,吉田行儀,民主社会党,2192515,156582,4,0,0.07141661516568872,1983,0
1,Hokkaido,北海道,北海道,北海道,13,前谷宏,無所属,2192515,31918,4,0,0.014557711121702703,1983,0
1,Hokkaido,北海道,北海道,北海道,14,対馬孝且,日本社会党,2837969,640834,4,1,0.22580725864165535,1986,1
1,Hokkaido,北海道,北海道,北海道,14,岩本政光,自由民主党,2837969,583457,4,1,0.20558963117638002,1986,1
1,Hokkaido,北海道,北海道,北海道,14,高木正明,自由民主党,2837969,575105,4,1,0.20264668148242634,1986,1
