block,party,n_cand,pr_wins,smd_wins,votes,vshare
中国,れいわ新選組,1,0,0,173622,5.9
中国,公明党,3,1,0,354291,12.04
中国,参政党,1,0,0,88358,3
中国,国民民主党,3,1,0,307681,10.45
中国,日本共産党,2,0,0,149218,5.07
中国,日本維新の会,5,0,1,187517,6.37
中国,社会民主党,1,0,0,53620,1.82
中国,立憲民主党,16,3,3,572598,19.45
中国,自由民主党,19,5,9,1056320,35.89
九州,れいわ新選組,4,1,0,461425,7.81
九州,公明党,6,3,0,859912,14.56
九州,参政党,4,1,0,277201,4.69
九州,国民民主党,4,2,1,564910,9.57
九州,日本共産党,4,1,1,275408,4.66
九州,日本維新の会,16,1,1,382034,6.47
九州,社会民主党,6,0,1,200694,3.4
九州,立憲民主党,21,4,7,1200921,20.34
九州,自由民主党,30,7,14,1682815,28.5
北海道,れいわ新選組,1,0,0,177620,7.42
北海道,公明党,2,1,0,253344,10.58
北海道,参政党,1,0,0,57002,2.38
北海道,国民民主党,1,1,0,192303,8.03
北海道,安楽死制度を考える会,2,0,0,18455,0.77
北海道,日本保守党,2,0,0,61903,2.59
北海道,日本共産党,2,0,0,169799,7.09
北海道,日本維新の会,4,0,0,96954,4.05
北海道,社会民主党,1,0,0,31134,1.3
北海道,立憲民主党,15,3,8,694578,29.01
北海道,自由民主党,15,3,3,641127,26.78
北関東,れいわ新選組,3,1,0,419511,7.2
北関東,公明党,4,3,0,674694,11.59
北関東,参政党,1,0,0,175559,3.01
北関東,国民民主党,4,1,3,686080,11.78
北関東,日本保守党,4,0,0,146728,2.52
北関東,日本共産党,3,1,0,354915,6.09
北関東,日本維新の会,19,1,0,391136,6.72
北関東,社会民主党,1,0,0,87247,1.5
北関東,立憲民主党,25,5,9,1283911,22.05
北関東,自由民主党,36,7,15,1603644,27.54
北陸信越,れいわ新選組,1,0,0,216659,6.64
北陸信越,公明党,2,1,0,258634,7.93
北陸信越,参政党,1,0,0,100050,3.07
北陸信越,国民民主党,2,1,0,341114,10.46
北陸信越,日本共産党,2,0,0,181910,5.58
北陸信越,日本維新の会,8,1,0,228617,7.01
北陸信越,社会民主党,1,0,0,61928,1.9
北陸信越,立憲民主党,17,3,10,818773,25.11
北陸信越,自由民主党,19,4,3,1053516,32.3
南関東,れいわ新選組,4,1,0,472519,6.59
南関東,公明党,4,2,0,729980,10.17
南関東,参政党,3,1,0,267145,3.72
南関東,国民民主党,4,3,0,907123,12.64
南関東,日本保守党,5,0,0,191169,2.66
南関東,日本共産党,4,1,0,437724,6.1
南関東,日本維新の会,22,2,0,536161,7.47
南関東,社会民主党,2,0,0,109959,1.53
南関東,立憲民主党,32,6,18,1700535,23.7
南関東,自由民主党,31,7,12,1822230,25.4
四国,れいわ新選組,1,0,0,95973,6.2
四国,公明党,2,1,0,196765,12.72
四国,参政党,1,0,0,44127,2.85
四国,国民民主党,2,1,1,234339,15.15
四国,日本共産党,2,0,0,88224,5.7
四国,日本維新の会,5,0,0,103237,6.67
四国,社会民主党,1,0,0,24361,1.57
四国,立憲民主党,8,1,2,280385,18.12
四国,自由民主党,14,3,6,479835,31.01
東京,みんなでつくる党,1,0,0,23784,0.38
東京,れいわ新選組,4,1,0,451865,7.13
東京,公明党,4,2,0,573191,9.04
東京,参政党,3,0,0,237271,3.74
東京,国民民主党,11,3,0,945460,14.91
東京,日本保守党,4,0,0,201770,3.18
東京,日本共産党,5,1,0,498565,7.86
東京,日本維新の会,22,2,0,516610,8.15
東京,社会民主党,1,0,0,96302,1.52
東京,立憲民主党,25,5,15,1298166,20.47
東京,自由民主党,29,5,11,1498632,23.63
東北,れいわ新選組,3,1,0,271855,7.19
東北,公明党,3,1,0,367341,9.72
東北,参政党,1,0,0,94354,2.5
東北,国民民主党,3,1,1,396991,10.5
東北,日本共産党,3,0,0,223409,5.91
東北,日本維新の会,6,0,0,165697,4.38
東北,社会民主党,1,0,0,79484,2.1
東北,立憲民主党,21,4,11,993007,26.26
東北,自由民主党,19,5,6,1188975,31.45
東海,れいわ新選組,5,2,0,506112,7.78
東海,公明党,4,2,0,665939,10.23
東海,参政党,1,0,0,179069,2.75
東海,国民民主党,6,1,5,856909,13.17
東海,日本保守党,5,1,0,255726,3.93
東海,日本共産党,3,1,0,334599,5.14
東海,日本維新の会,14,1,0,427368,6.57
東海,社会民主党,1,0,0,90708,1.39
東海,立憲民主党,27,6,13,1474091,22.65
東海,自由民主党,35,7,11,1717737,26.39
近畿,れいわ新選組,5,2,0,557899,6.29
近畿,公明党,5,3,0,1030324,11.62
近畿,参政党,5,1,0,350211,3.95
近畿,国民民主党,2,2,0,739517,8.34
近畿,日本保守党,6,1,0,288326,3.25
近畿,日本共産党,5,2,0,649195,7.32
近畿,日本維新の会,25,7,3,2069796,23.34
近畿,社会民主党,1,0,0,99161,1.12
近畿,立憲民主党,27,4,5,1247252,14.06
近畿,自由民主党,38,6,12,1837859,20.72
