block,party,rank,name,yomi,lastname,firstname,last_kana,first_kana,age,recommended,status,previous,dup,dup_dist,win_smd,win_pr,loss_ratio
北海道,日本維新の会,1,小林 悟,こばやし さとる,小林,悟,こばやし,さとる,60,NA,新,NA,1,北海道1区,0,0,18.451
北海道,日本維新の会,1,山崎 泉,やまざき いずみ,山崎,泉,やまざき,いずみ,51,NA,新,NA,1,北海道2区,0,0,34.119
北海道,日本維新の会,1,鳥越 良孝,とりこし よしたか,鳥越,良孝,とりこし,よしたか,68,NA,新,NA,1,北海道3区,0,0,21.772
北海道,日本維新の会,4,喜多 義典,きた よしのり,喜多,義典,きた,よしのり,57,NA,新,NA,0,比例単独,0,0,NA
北海道,自由民主党,1,伊東 良孝,いとう よしたか,伊東,良孝,いとう,よしたか,75,NA,前,5,0,比例単独,0,1,NA
北海道,自由民主党,2,加藤 貴弘,かとう たかひろ,加藤,貴弘,かとう,たかひろ,41,推薦・支持：公明,新,NA,1,北海道1区,0,0,73.927
北海道,自由民主党,2,高橋 祐介,たかはし ゆうすけ,高橋,祐介,たかはし,ゆうすけ,44,推薦・支持：公明,前,1,1,北海道2区,0,0,81.737
北海道,自由民主党,2,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,64,推薦・支持：公明,前,3,1,北海道3区,0,0,82.976
北海道,自由民主党,2,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,63,推薦・支持：公明,前,4,1,北海道4区,0,1,92.714
北海道,自由民主党,2,東 国幹,あずま くによし,東,国幹,あずま,くによし,56,推薦・支持：公明,前,1,1,北海道6区,1,0,NA
北海道,自由民主党,2,鈴木 貴子,すずき たかこ,鈴木,貴子,すずき,たかこ,38,推薦・支持：公明,前,4,1,北海道7区,1,0,NA
北海道,自由民主党,2,向山 淳,むこうやま じゅん,向山,淳,むこうやま,じゅん,40,推薦・支持：公明,新,NA,1,北海道8区,0,1,84.909
北海道,自由民主党,2,松下 英樹,まつした ひでき,松下,英樹,まつした,ひでき,34,推薦・支持：公明,新,NA,1,北海道9区,0,0,58.796
北海道,自由民主党,2,中川 郁子,なかがわ ゆうこ,中川,郁子,なかがわ,ゆうこ,65,推薦・支持：公明,前,3,1,北海道11区,0,0,79.123
北海道,自由民主党,2,武部 新,たけべ あらた,武部,新,たけべ,あらた,54,推薦・支持：公明,前,4,1,北海道12区,1,0,NA
北海道,自由民主党,12,渡辺 孝一,わたなべ こういち,渡辺,孝一,わたなべ,こういち,66,NA,前,4,0,比例単独,0,0,NA
北海道,自由民主党,13,三輪 綾子,みわ あやこ,三輪,綾子,みわ,あやこ,40,NA,新,NA,0,比例単独,0,0,NA
北海道,自由民主党,14,相馬 亜紀,そうま あき,相馬,亜紀,そうま,あき,56,NA,新,NA,0,比例単独,0,0,NA
北海道,自由民主党,15,久保 潤,くぼ じゅん,久保,潤,くぼ,じゅん,46,NA,新,NA,0,比例単独,0,0,NA
北海道,れいわ新選組,1,野村パターソン 和孝,のむらぱたーそん かずたか,野村パターソン,和孝,のむらぱたーそん,かずたか,39,NA,新,NA,0,比例単独,0,0,NA
北海道,参政党,1,田中 義人,たなか よしひと,田中,義人,たなか,よしひと,52,NA,新,NA,1,北海道1区,0,0,18.54
北海道,安楽死制度を考える会,1,佐野 秀光,さの ひでみつ,佐野,秀光,さの,ひでみつ,54,NA,新,NA,0,比例単独,0,0,NA
北海道,安楽死制度を考える会,2,中村 治,なかむら おさむ,中村,治,なかむら,おさむ,71,NA,新,NA,0,比例単独,0,0,NA
北海道,社会民主党,1,鳴海 一芳,なるみ かずよし,鳴海,一芳,なるみ,かずよし,70,NA,新,NA,0,比例単独,0,0,NA
北海道,公明党,1,佐藤 英道,さとう ひでみち,佐藤,英道,さとう,ひでみち,64,NA,前,4,0,比例単独,0,1,NA
