prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
北海道,1,北海道1区,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,50,中道,NA,前,3,1,0,0,81560,31.58
北海道,1,北海道1区,臼木 秀剛,うすき ひでたけ,臼木,秀剛,うすき,ひでたけ,44,国民,NA,前,1,1,0,1,29134,11.28
北海道,1,北海道1区,森 英士,もり つねと,森,英士,もり,つねと,48,共産,NA,新,0,0,0,0,12906,5
北海道,1,北海道1区,加藤 貴弘,かとう たかひろ,加藤,貴弘,かとう,たかひろ,43,自民,維新,新,0,1,1,0,112618,43.61
北海道,1,北海道1区,加納 千津子,かのう ちづこ,加納,千津子,かのう,ちづこ,50,参政,NA,新,0,0,0,0,22024,8.53
北海道,2,北海道2区,平岡 大介,ひらおか だいすけ,平岡,大介,ひらおか,だいすけ,37,共産,NA,新,0,0,0,0,17515,7.34
北海道,2,北海道2区,高橋 祐介,たかはし ゆうすけ,高橋,祐介,たかはし,ゆうすけ,45,自民,NA,元,1,1,1,0,102343,42.87
北海道,2,北海道2区,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,66,中道,NA,前,7,1,0,0,72670,30.44
北海道,2,北海道2区,中田 綾子,なかだ あやこ,中田,綾子,なかだ,あやこ,49,参政,NA,新,0,1,0,0,27591,11.56
北海道,2,北海道2区,山崎 泉,やまざき いずみ,山崎,泉,やまざき,いずみ,52,維新,NA,新,0,1,0,0,18625,7.8
北海道,3,北海道3区,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,65,自民,維新,元,3,1,1,0,114285,46.45
北海道,3,北海道3区,中島 良樹,なかしま よしき,中島,良樹,なかしま,よしき,47,参政,NA,新,0,1,0,0,34838,14.16
北海道,3,北海道3区,円子 裕子,まるこ ゆうこ,円子,裕子,まるこ,ゆうこ,62,共産,NA,新,0,0,0,0,15595,6.34
北海道,3,北海道3区,荒井 優,あらい ゆたか,荒井,優,あらい,ゆたか,50,中道,NA,前,2,1,0,0,81318,33.05
北海道,4,北海道4区,佐々木 明美,ささき あけみ,佐々木,明美,ささき,あけみ,65,共産,NA,新,0,0,0,0,14005,6.27
北海道,4,北海道4区,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,64,自民,維新,前,5,1,1,0,105656,47.33
北海道,4,北海道4区,大築 紅葉,おおつき くれは,大築,紅葉,おおつき,くれは,42,中道,NA,前,2,1,0,0,83516,37.41
北海道,4,北海道4区,高橋 翔太,たかはし しょうた,高橋,翔太,たかはし,しょうた,37,参政,NA,新,0,0,0,0,20051,8.98
北海道,5,北海道5区,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,54,自民,維新,元,3,1,1,0,143229,57.5
北海道,5,北海道5区,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,53,中道,NA,前,2,1,0,0,105844,42.5
北海道,6,北海道6区,荻生 和敏,おぎう かずとし,荻生,和敏,おぎう,かずとし,76,共産,NA,新,0,0,0,0,14978,6.93
北海道,6,北海道6区,西川 将人,にしかわ まさひと,西川,将人,にしかわ,まさひと,57,中道,NA,前,1,1,0,0,79954,36.98
北海道,6,北海道6区,東 国幹,あずま くによし,東,国幹,あずま,くによし,57,自民,維新,前,2,1,1,0,121276,56.09
北海道,7,北海道7区,篠田 奈保子,しのだ なおこ,篠田,奈保子,しのだ,なおこ,54,中道,NA,前,1,1,0,0,46588,34.28
北海道,7,北海道7区,鈴木 貴子,すずき たかこ,鈴木,貴子,すずき,たかこ,40,自民,維新,前,5,1,1,0,89336,65.72
北海道,8,北海道8区,逢坂 誠二,おおさか せいじ,逢坂,誠二,おおさか,せいじ,66,中道,NA,前,6,1,0,0,87526,44.71
北海道,8,北海道8区,向山 淳,むこうやま じゅん,向山,淳,むこうやま,じゅん,42,自民,NA,前,1,1,1,0,108229,55.29
北海道,9,北海道9区,立野 広志,たつの ひろし,立野,広志,たつの,ひろし,68,共産,NA,新,0,0,0,0,12142,5.95
北海道,9,北海道9区,松下 英樹,まつした ひでき,松下,英樹,まつした,ひでき,35,自民,NA,新,0,1,1,0,87984,43.11
北海道,9,北海道9区,山岡 達丸,やまおか たつまる,山岡,達丸,やまおか,たつまる,46,中道,NA,前,4,1,0,1,81063,39.72
北海道,9,北海道9区,菅野 望帆,かんの みほ,菅野,望帆,かんの,みほ,36,参政,NA,新,0,0,0,0,22900,11.22
北海道,10,北海道10区,渡辺 孝一,わたなべ こういち,渡辺,孝一,わたなべ,こういち,68,自民,NA,元,4,1,0,1,74887,49.99
