block,party,n_cand,pr_wins,smd_wins,votes,vshare
中国,れいわ新選組,2,0,0,87272,2.9
中国,中道改革連合,15,2,0,620211,20.64
中国,共産党,1,0,0,109968,3.66
中国,参政党,5,1,0,252036,8.39
中国,国民民主党,6,1,0,273263,9.09
中国,日本保守党,1,0,0,73431,2.44
中国,日本維新の会,2,1,0,213428,7.1
中国,減税日本・ゆうこく連合,1,0,0,40460,1.35
中国,社民党,1,0,0,37654,1.25
中国,自民党,21,5,16,1297078,43.17
九州,れいわ新選組,3,0,0,207317,3.28
九州,チームみらい,1,1,0,375395,5.95
九州,中道改革連合,22,4,2,1181743,18.72
九州,共産党,2,0,0,210751,3.34
九州,参政党,6,2,0,519904,8.23
九州,国民民主党,11,2,2,505129,8
九州,日本保守党,2,0,0,151773,2.4
九州,日本維新の会,7,1,0,374428,5.93
九州,減税日本・ゆうこく連合,1,0,0,128713,2.04
九州,社民党,5,0,0,142166,2.25
九州,自民党,38,10,26,2516333,39.86
北海道,れいわ新選組,1,0,0,76099,3.09
北海道,チームみらい,1,0,0,134613,5.46
北海道,中道改革連合,17,3,1,605889,24.6
北海道,共産党,1,0,0,134084,5.44
北海道,参政党,2,0,0,163329,6.63
北海道,国民民主党,2,1,0,218850,8.88
北海道,日本保守党,1,0,0,60119,2.44
北海道,日本維新の会,2,0,0,93967,3.81
北海道,減税日本・ゆうこく連合,1,0,0,32878,1.33
北海道,社民党,1,0,0,31753,1.29
北海道,自民党,15,4,11,911742,37.01
北関東,れいわ新選組,2,0,0,182261,2.99
北関東,チームみらい,1,1,0,467561,7.67
北関東,中道改革連合,25,4,0,1174717,19.27
北関東,共産党,2,1,0,254497,4.17
北関東,参政党,7,2,0,506071,8.3
北関東,国民民主党,9,2,1,626695,10.28
北関東,日本保守党,2,0,0,150809,2.47
北関東,日本維新の会,5,1,0,326128,5.35
北関東,減税日本・ゆうこく連合,1,0,0,73101,1.2
北関東,社民党,1,0,0,77406,1.27
北関東,自民党,38,8,27,2256845,37.02
北陸信越,れいわ新選組,1,0,0,100497,3.05
北陸信越,中道改革連合,15,4,0,651331,19.76
北陸信越,共産党,2,0,0,140311,4.26
北陸信越,参政党,4,1,0,285897,8.67
北陸信越,国民民主党,5,1,0,322739,9.79
北陸信越,安楽死制度を考える会,2,0,0,13014,0.39
北陸信越,日本保守党,1,0,0,73566,2.23
北陸信越,日本維新の会,5,1,0,231686,7.03
北陸信越,減税日本・ゆうこく連合,1,0,0,40094,1.22
北陸信越,社民党,1,0,0,50017,1.52
北陸信越,自民党,20,3,17,1387716,42.09
南関東,れいわ新選組,3,1,0,202655,2.73
南関東,チームみらい,3,3,0,682469,9.2
南関東,中道改革連合,31,7,0,1424763,19.21
南関東,共産党,3,1,0,314224,4.24
南関東,参政党,6,2,0,531288,7.16
南関東,国民民主党,9,3,0,788564,10.63
南関東,日本保守党,2,0,0,184802,2.49
南関東,日本維新の会,8,2,0,463287,6.25
南関東,減税日本・ゆうこく連合,2,0,0,95646,1.29
南関東,社民党,1,0,0,91827,1.24
南関東,自民党,35,4,31,2637938,35.56
四国,れいわ新選組,1,0,0,49267,3
四国,中道改革連合,6,1,1,299777,18.23
四国,共産党,1,0,0,68324,4.15
四国,参政党,2,0,0,138187,8.4
四国,国民民主党,4,1,0,213661,12.99
四国,日本保守党,1,0,0,44284,2.69
四国,日本維新の会,2,0,0,121217,7.37
四国,社民党,1,0,0,18674,1.14
四国,自民党,15,4,7,691402,42.04
東京,れいわ新選組,2,0,0,179614,2.65
東京,チームみらい,4,4,0,887849,13.1
東京,中道改革連合,27,5,0,1119155,16.51
東京,共産党,3,1,0,407146,6.01
東京,参政党,6,2,0,427028,6.3
東京,国民民主党,27,3,0,746660,11.02
東京,日本保守党,3,0,0,209329,3.09
東京,日本維新の会,11,1,0,384487,5.67
東京,減税日本・ゆうこく連合,2,0,0,89161,1.32
東京,社民党,1,0,0,84362,1.24
東京,自民党,32,3,29,2243625,33.1
東北,れいわ新選組,2,0,0,121631,3.1
東北,チームみらい,1,1,0,234050,5.97
東北,中道改革連合,20,3,1,828883,21.16
東北,共産党,2,0,0,158466,4.05
東北,参政党,3,1,0,278410,7.11
東北,国民民主党,8,1,1,389503,9.94
東北,日本保守党,1,0,0,72889,1.86
東北,日本維新の会,3,0,0,165104,4.21
東北,社民党,1,0,0,55999,1.43
東北,自民党,26,6,19,1612576,41.16
東海,れいわ新選組,4,0,0,218838,3.14
東海,チームみらい,1,1,0,478316,6.85
東海,中道改革連合,26,4,0,1199580,17.19
東海,共産党,2,0,0,241848,3.47
東海,参政党,7,2,0,527291,7.56
東海,国民民主党,12,3,3,836102,11.98
東海,日本保守党,3,0,0,175506,2.51
東海,日本維新の会,6,1,0,400964,5.74
東海,減税日本・ゆうこく連合,8,0,1,209174,3
東海,社民党,1,0,0,63729,0.91
東海,自民党,39,10,28,2628008,37.65
近畿,れいわ新選組,4,0,0,247048,2.64
近畿,チームみらい,2,0,0,553496,5.92
近畿,中道改革連合,30,5,1,1332752,14.26
近畿,共産党,4,1,0,480188,5.14
近畿,参政党,7,2,0,631179,6.75
近畿,国民民主党,10,2,0,651785,6.97
近畿,日本保守党,3,0,0,259055,2.77
近畿,日本維新の会,35,8,18,2168635,23.2
近畿,減税日本・ゆうこく連合,1,0,0,105647,1.13
近畿,社民党,1,0,0,75014,0.8
近畿,自民党,40,10,19,2842876,30.41
