prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
北海道,1,北海道1区,小林 悟,こばやし さとる,小林,悟,こばやし,さとる,60,維新,NA,新,NA,1,0,0,20000,8
北海道,1,北海道1区,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,48,立憲,NA,前,2,1,1,0,108394,43.34
北海道,1,北海道1区,田中 義人,たなか よしひと,田中,義人,たなか,よしひと,52,参政,NA,新,NA,1,0,0,20097,8.04
北海道,1,北海道1区,千葉 尚子,ちば なおこ,千葉,尚子,ちば,なおこ,44,共産,NA,新,NA,0,0,0,21451,8.58
北海道,1,北海道1区,加藤 貴弘,かとう たかひろ,加藤,貴弘,かとう,たかひろ,41,自民,推薦・支持：公明,新,NA,1,0,0,80133,32.04
北海道,2,北海道2区,山崎 泉,やまざき いずみ,山崎,泉,やまざき,いずみ,51,維新,NA,新,NA,1,0,0,32073,13.66
北海道,2,北海道2区,宮内 史織,みやうち しおり,宮内,史織,みやうち,しおり,32,共産,NA,新,NA,1,0,0,31855,13.57
北海道,2,北海道2区,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,65,立憲,NA,前,6,1,1,0,94002,40.04
北海道,2,北海道2区,高橋 祐介,たかはし ゆうすけ,高橋,祐介,たかはし,ゆうすけ,44,自民,推薦・支持：公明,前,1,1,0,0,76835,32.73
北海道,3,北海道3区,増田 健治,ますだ けんじ,増田,健治,ますだ,けんじ,70,無所,NA,新,NA,0,0,0,11972,4.99
北海道,3,北海道3区,荒井 優,あらい ゆたか,荒井,優,あらい,ゆたか,49,立憲,NA,前,1,1,1,0,100136,41.74
北海道,3,北海道3区,鳥越 良孝,とりこし よしたか,鳥越,良孝,とりこし,よしたか,68,維新,NA,新,NA,1,0,0,21802,9.09
北海道,3,北海道3区,伊藤 理智子,いとう りちこ,伊藤,理智子,いとう,りちこ,63,共産,NA,新,NA,0,0,0,22915,9.55
北海道,3,北海道3区,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,64,自民,推薦・支持：公明,前,3,1,0,0,83089,34.63
北海道,4,北海道4区,佐々木 明美,ささき あけみ,佐々木,明美,ささき,あけみ,63,共産,NA,新,NA,0,0,0,19063,8.47
北海道,4,北海道4区,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,63,自民,推薦・支持：公明,前,4,1,0,1,94090,41.83
北海道,4,北海道4区,大築 紅葉,おおつき くれは,大築,紅葉,おおつき,くれは,41,立憲,NA,前,1,1,1,0,101484,45.11
北海道,4,北海道4区,斎藤 佳代,さいとう かよ,斎藤,佳代,さいとう,かよ,41,無所,NA,新,NA,0,0,0,10322,4.59
北海道,5,北海道5区,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,53,自民,推薦・支持：公明,前,3,0,0,0,100893,41.56
北海道,5,北海道5区,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,52,立憲,NA,元,1,1,1,0,125444,51.68
北海道,5,北海道5区,鈴木 龍次,すずき りゅうじ,鈴木,龍次,すずき,りゅうじ,64,共産,NA,新,NA,0,0,0,16399,6.76
北海道,6,北海道6区,荻生 和敏,おぎう かずとし,荻生,和敏,おぎう,かずとし,74,共産,NA,新,NA,0,0,0,19909,9.27
北海道,6,北海道6区,西川 将人,にしかわ まさひと,西川,将人,にしかわ,まさひと,55,立憲,NA,新,NA,1,0,1,94193,43.85
北海道,6,北海道6区,東 国幹,あずま くによし,東,国幹,あずま,くによし,56,自民,推薦・支持：公明,前,1,1,1,0,100694,46.88
北海道,7,北海道7区,篠田 奈保子,しのだ なおこ,篠田,奈保子,しのだ,なおこ,52,立憲,NA,新,NA,1,0,1,54888,41.56
北海道,7,北海道7区,鈴木 貴子,すずき たかこ,鈴木,貴子,すずき,たかこ,38,自民,推薦・支持：公明,前,4,1,1,0,77189,58.44
北海道,8,北海道8区,逢坂 誠二,おおさか せいじ,逢坂,誠二,おおさか,せいじ,65,立憲,NA,前,5,0,1,0,97758,50.79
北海道,8,北海道8区,本間 勝美,ほんま かつみ,本間,勝美,ほんま,かつみ,56,共産,NA,新,NA,0,0,0,11708,6.08
北海道,8,北海道8区,向山 淳,むこうやま じゅん,向山,淳,むこうやま,じゅん,40,自民,推薦・支持：公明,新,NA,1,0,1,83006,43.13
北海道,9,北海道9区,立野 広志,たつの ひろし,立野,広志,たつの,ひろし,67,共産,NA,新,NA,0,0,0,20557,10.88
北海道,9,北海道9区,松下 英樹,まつした ひでき,松下,英樹,まつした,ひでき,34,自民,推薦・支持：公明,新,NA,1,0,0,62328,33
北海道,9,北海道9区,山岡 達丸,やまおか たつまる,山岡,達丸,やまおか,たつまる,45,立憲,NA,前,3,1,1,0,106007,56.12
北海道,10,北海道10区,神谷 裕,かみや ひろし,神谷,裕,かみや,ひろし,56,立憲,NA,前,2,1,1,0,78362,50.77
北海道,10,北海道10区,稲津 久,いなつ ひさし,稲津,久,いなつ,ひさし,66,公明,推薦・支持：自民,前,5,0,0,0,75990,49.23
北海道,11,北海道11区,石川 香織,いしかわ かおり,石川,香織,いしかわ,かおり,40,立憲,NA,前,2,1,1,0,84522,52.25
北海道,11,北海道11区,中川 郁子,なかがわ ゆうこ,中川,郁子,なかがわ,ゆうこ,65,自民,推薦・支持：公明,前,3,1,0,0,66877,41.34
北海道,11,北海道11区,佐藤 耕平,さとう こうへい,佐藤,耕平,さとう,こうへい,48,共産,NA,新,NA,0,0,0,10367,6.41
北海道,12,北海道12区,武部 新,たけべ あらた,武部,新,たけべ,あらた,54,自民,推薦・支持：公明,前,4,1,1,0,78645,52.34
北海道,12,北海道12区,川原田 英世,かわはらだ えいせい,川原田,英世,かわはらだ,えいせい,41,立憲,NA,新,NA,1,0,1,71608,47.66
青森,1,青森1区,津島 淳,つしま じゅん,津島,淳,つしま,じゅん,58,自民,推薦・支持：公明,前,4,1,1,0,76265,46.03
青森,1,青森1区,升田 世喜男,ますた せきお,升田,世喜男,ますた,せきお,67,立憲,NA,元,1,1,0,1,71211,42.98
青森,1,青森1区,斎藤 美緒,さいとう みお,斎藤,美緒,さいとう,みお,44,共産,NA,新,NA,0,0,0,18212,10.99
青森,2,青森2区,金浜 亨,かねはま あきら,金浜,亨,かねはま,あきら,36,国民,NA,新,NA,1,0,0,33569,18.4
青森,2,青森2区,神田 潤一,かんだ じゅんいち,神田,潤一,かんだ,じゅんいち,54,自民,推薦・支持：公明,前,1,1,1,0,82784,45.38
青森,2,青森2区,久保 将,くぼ しょう,久保,将,くぼ,しょう,70,共産,NA,新,NA,0,0,0,9397,5.15
青森,2,青森2区,松尾 和彦,まつお かずひこ,松尾,和彦,まつお,かずひこ,61,無所,NA,新,NA,0,0,0,56674,31.07
青森,3,青森3区,木村 次郎,きむら じろう,木村,次郎,きむら,じろう,56,自民,推薦・支持：公明,前,2,0,0,0,73848,42.27
青森,3,青森3区,岡田 華子,おかだ はなこ,岡田,華子,おかだ,はなこ,44,立憲,NA,新,NA,1,1,0,86593,49.56
青森,3,青森3区,其田 寿一,そのた としかず,其田,寿一,そのた,としかず,38,無所,NA,新,NA,0,0,0,6531,3.74
青森,3,青森3区,長坂 淳也,ながさか じゅんや,長坂,淳也,ながさか,じゅんや,48,維新,NA,新,NA,1,0,0,7747,4.43
