party,n_cand,n_priority,seats_won,votes_party,votes_cand,votes_total,vshare
自民,31,2,12,9196277,3612029,12808306,21.64
参政,10,0,7,6671583,753469,7425052,12.55
国民,19,0,7,6424045,1196447,7620492,12.88
立憲,22,0,7,6047018,1350447,7397465,12.5
公明,17,0,4,3285604,1924965,5210569,8.8
維新,13,0,4,3906677,469249,4375926,7.39
れいわ,12,1,3,3598901,281013,3879914,6.56
保守,4,0,2,1757878,1224215,2982093,5.04
共産,19,0,2,2582106,282632,2864738,4.84
みらい,3,0,1,1264591,253299,1517890,2.56
社民,5,0,1,898624,319199,1217823,2.06
再生,9,0,0,463598,61189,524787,0.89
改革,1,0,0,39975,15257,55232,0.09
無連,2,0,0,219461,69761,289222,0.49
誠真,2,0,0,162561,170702,333263,0.56
Ｎ党,3,0,0,329658,352968,682626,1.15
